               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10141,            0.020652,            0.025537,             0.50927,              0.2016,             0.16248,            0.062196,            0.078988,            0.016884,            0.012554,            0.070246,            0.003306,            0.003306
                   1,            0.076967,            0.018245,            0.012642,             0.69072,             0.37387,             0.37143,             0.14745,            0.068953,            0.011329,           0.0065806,            0.040114,           0.0065079,           0.0065079
                   2,            0.072077,            0.015361,           0.0089304,             0.46551,             0.70263,             0.54999,              0.1948,            0.061168,            0.010118,           0.0048053,            0.009851,           0.0095778,           0.0095778
                   3,            0.065974,            0.013786,           0.0066942,             0.74705,             0.71601,             0.74819,             0.33478,            0.055841,           0.0095932,           0.0041339,            0.009406,            0.009406,            0.009406
                   4,             0.06219,             0.01315,           0.0056313,             0.71039,             0.77676,             0.74883,             0.31359,            0.054234,           0.0089681,           0.0033286,            0.009406,            0.009406,            0.009406
                   5,            0.060183,             0.01284,            0.005356,             0.89448,             0.77871,             0.82575,             0.34696,            0.051862,           0.0087582,           0.0031714,            0.009208,            0.009208,            0.009208
                   6,            0.057838,            0.012887,           0.0048952,             0.89837,             0.81082,             0.86236,             0.40045,            0.049522,           0.0086358,           0.0030746,             0.00901,             0.00901,             0.00901
                   7,            0.055663,            0.012474,           0.0044779,             0.89183,             0.82064,             0.86965,             0.40785,            0.050352,           0.0084565,           0.0027551,            0.008812,            0.008812,            0.008812
                   8,            0.053598,            0.012179,           0.0039297,             0.86345,             0.83345,             0.85541,             0.43272,            0.049596,           0.0083569,           0.0030188,            0.008614,            0.008614,            0.008614
                   9,            0.053711,            0.011714,           0.0037858,             0.87789,             0.84555,             0.87668,             0.39717,            0.049265,           0.0083982,           0.0027264,            0.008416,            0.008416,            0.008416
