               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10161,            0.021465,              0.0261,             0.50976,             0.17996,             0.16703,            0.062929,            0.079923,            0.015826,            0.013799,            0.070246,            0.003306,            0.003306
                   1,            0.076276,             0.01743,            0.012256,             0.65221,             0.35308,             0.33399,             0.11322,            0.067631,            0.011066,           0.0080191,            0.040114,           0.0065079,           0.0065079
                   2,            0.071505,            0.015423,           0.0084897,              0.6071,             0.59911,             0.63039,             0.26867,              0.0618,           0.0098978,           0.0062769,            0.009851,           0.0095778,           0.0095778
                   3,            0.066047,            0.014034,            0.006323,             0.74551,             0.73008,             0.74148,             0.34138,            0.057761,           0.0096548,           0.0050554,            0.009406,            0.009406,            0.009406
                   4,            0.062635,            0.013406,           0.0057734,             0.71777,             0.78774,              0.7529,             0.33176,             0.05489,           0.0086299,           0.0041754,            0.009406,            0.009406,            0.009406
                   5,            0.059508,            0.012553,           0.0048201,             0.85486,             0.77258,             0.82529,             0.39933,            0.054869,           0.0082838,           0.0040612,            0.009208,            0.009208,            0.009208
                   6,            0.057853,            0.012587,           0.0044426,             0.83119,             0.80844,             0.82684,             0.37395,            0.051059,           0.0083712,           0.0041162,             0.00901,             0.00901,             0.00901
                   7,            0.055935,            0.012544,           0.0044539,             0.88346,             0.83395,             0.87454,             0.37664,            0.049978,            0.008173,           0.0041668,            0.008812,            0.008812,            0.008812
                   8,            0.054084,            0.012299,           0.0041081,               0.891,             0.85294,             0.88704,             0.44655,             0.04604,           0.0080457,           0.0035759,            0.008614,            0.008614,            0.008614
                   9,            0.052822,            0.012211,           0.0038133,             0.92441,             0.84473,             0.89219,             0.43654,            0.047123,           0.0080139,           0.0036248,            0.008416,            0.008416,            0.008416
                  10,            0.052649,            0.012134,            0.004397,              0.9126,             0.83561,             0.88168,             0.43951,            0.046171,           0.0079522,           0.0035606,            0.008218,            0.008218,            0.008218
                  11,            0.051056,            0.011727,           0.0038617,             0.92626,             0.86163,             0.90146,             0.48041,            0.045651,           0.0077986,           0.0032597,             0.00802,             0.00802,             0.00802
                  12,            0.051032,            0.011673,           0.0036601,             0.91481,             0.86716,             0.89636,              0.4608,            0.044823,           0.0077682,           0.0032538,            0.007822,            0.007822,            0.007822
                  13,            0.050376,            0.011707,           0.0033179,             0.91486,             0.86347,             0.90448,              0.4703,             0.04395,           0.0076981,           0.0031141,            0.007624,            0.007624,            0.007624
                  14,            0.049583,            0.011417,           0.0034683,             0.91025,             0.86625,             0.90748,             0.49025,            0.043989,           0.0077488,           0.0032228,            0.007426,            0.007426,            0.007426
                  15,            0.048145,            0.011657,           0.0032015,             0.92366,              0.8671,              0.9081,             0.49204,            0.042776,           0.0075989,           0.0029584,            0.007228,            0.007228,            0.007228
                  16,            0.047971,            0.011612,           0.0029558,             0.92187,             0.87262,             0.90658,               0.506,            0.042892,           0.0076436,           0.0031623,             0.00703,             0.00703,             0.00703
                  17,            0.047747,            0.011302,           0.0033919,             0.91583,             0.87229,             0.90478,             0.50636,             0.04263,           0.0076622,            0.003102,            0.006832,            0.006832,            0.006832
                  18,            0.047377,            0.011439,           0.0030267,             0.93152,             0.86939,             0.91258,             0.49407,            0.042812,           0.0076375,           0.0030947,            0.006634,            0.006634,            0.006634
                  19,            0.046589,            0.011413,           0.0031963,             0.91884,             0.87368,             0.91103,             0.51077,            0.042245,           0.0077533,           0.0032135,            0.006436,            0.006436,            0.006436
                  20,            0.046515,            0.010989,           0.0029186,             0.92158,             0.88169,             0.91698,             0.52096,            0.041629,           0.0075642,           0.0030212,            0.006238,            0.006238,            0.006238
                  21,            0.046225,            0.011397,           0.0028637,             0.93719,             0.88061,             0.92246,             0.52503,            0.041674,           0.0074752,            0.002853,             0.00604,             0.00604,             0.00604
                  22,            0.045856,            0.010934,           0.0030553,             0.93644,             0.87887,             0.92035,              0.5319,            0.041334,            0.007433,           0.0029288,            0.005842,            0.005842,            0.005842
                  23,            0.045538,            0.011184,           0.0025895,             0.91736,             0.89564,             0.92127,             0.52951,               0.041,           0.0074207,           0.0029169,            0.005644,            0.005644,            0.005644
                  24,            0.044949,            0.010698,           0.0026939,             0.92958,             0.89606,             0.92329,             0.53353,            0.041057,           0.0074474,           0.0028607,            0.005446,            0.005446,            0.005446
                  25,            0.045185,            0.010903,           0.0028287,             0.92506,             0.89231,              0.9261,             0.54351,            0.040823,           0.0073337,           0.0030215,            0.005248,            0.005248,            0.005248
                  26,            0.043907,            0.011056,           0.0026421,             0.93499,             0.87049,             0.91923,             0.53625,                0.04,           0.0073403,           0.0029431,             0.00505,             0.00505,             0.00505
                  27,            0.043722,            0.010792,            0.002452,             0.94014,             0.88356,             0.92251,             0.54029,            0.040732,           0.0073504,           0.0028039,            0.004852,            0.004852,            0.004852
                  28,             0.04349,            0.010615,           0.0024288,             0.94141,             0.88087,             0.93244,             0.54148,            0.040389,           0.0073396,            0.003027,            0.004654,            0.004654,            0.004654
